,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
63,EDM investigation of Al 7075 alloy reinforced with B4C and fly ash nanoparticles and parametric optimization for sustainable production,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,40.0,5,10.1007/s40430-018-1191-8,Sweety MahantaM. ChandrasekaranSutanu SamantaR. M. Arunachalam,2018,http://link.springer.com/article/10.1007/s40430-018-1191-8,Article
64,Prognostics: a literature review,Complex & Intelligent Systems,,2.0,2,10.1007/s40747-016-0019-3,Hatem M. ElattarHamdy K. ElminirA. M. Riad,2016,http://link.springer.com/article/10.1007/s40747-016-0019-3,Article
65,Transport Transition Concepts,Achieving the Paris Climate Agreement Goals,,,,10.1007/978-3-030-05843-2_6,Johannes PagenkopfBent van den AdelÖzcan DenizStephan Schmid,2019,http://link.springer.com/chapter/10.1007/978-3-030-05843-2_6,Chapter
66,What is a Cyber-Physical System?,Cyber-Physical Systems: A Model-Based Approach,,,,10.1007/978-3-030-36071-9_1,Walid M. TahaAbd-Elhamid M. TahaJohan Thunberg,2021,http://link.springer.com/chapter/10.1007/978-3-030-36071-9_1,Chapter
67,A state of the art review of intelligent scheduling,Artificial Intelligence Review,,53.0,1,10.1007/s10462-018-9667-6,Mohammad Hossein Fazel ZarandiAli Akbar Sadat AslShahabeddin SotudianOscar Castillo,2020,http://link.springer.com/article/10.1007/s10462-018-9667-6,Article
68,Important trends and junctures in warship design,Marine Systems & Ocean Technology,,15.0,2,10.1007/s40868-020-00076-2,Simon Reay AtkinsonChristopher J. SkinnerKeith F. JoinerNicholas H. M. CaldwellAhmed Swidan,2020,http://link.springer.com/article/10.1007/s40868-020-00076-2,Article
69,Flexoelectric materials and their related applications: A focused review,Journal of Advanced Ceramics,,8.0,2,10.1007/s40145-018-0311-3,Longlong ShuRenhong LiangZhenggang RaoLinfeng FeiShanming KeYu Wang,2019,http://link.springer.com/article/10.1007/s40145-018-0311-3,Article
70,64TH ASMS Conference on Mass Spectrometry and Allied Topics,Journal of The American Society for Mass Spectrometry,,27.0,1,10.1007/s13361-016-1413-1,Judith Sjoberg,2016,http://link.springer.com/article/10.1007/s13361-016-1413-1,Article
71,Successful Cases of the Use of Innovative Tools and Technology in the Creative Industries Field,Drones and the Creative Industry,,,,10.1007/978-3-319-95261-1_5,María-Ángeles Carabal-MontagudVirginia Santamarina-CamposGavin O’BrienMaría de-Miguel-Molina,2018,http://link.springer.com/chapter/10.1007/978-3-319-95261-1_5,Chapter
72,66TH ASMS Conference on Mass Spectrometry and Allied Topics,Journal of The American Society for Mass Spectrometry,,29.0,1,10.1007/s13361-018-1971-5,,2018,http://link.springer.com/article/10.1007/s13361-018-1971-5,Article
